ts,open,high,low,close,volume,EMA50,EMA200,RSI,ATR,EMA50_slope,Signal,Score,Position,Returns,Equity
2025-08-29 18:00:00+00:00,108466.01,108500.0,108295.05,108341.51,90.74438,109562.12859954913,111234.79697395657,45.02319630290731,360.9857142857155,-49.82116732854047,SELL,-0.6000000000000001,-1.0,0.0011478250191004902,100.03450051875068
2025-08-29 18:15:00+00:00,108341.51,108398.1,108101.07,108126.96,113.73551,109505.84747799819,111203.87322297193,48.27991499119706,338.0835714285723,-56.28112155094277,SELL,-0.6000000000000001,-1.0,0.001980312070599566,100.03648083082128
2025-08-29 18:30:00+00:00,108126.96,108245.8,108102.68,108144.01,65.01565,109452.44208670415,111173.42682274336,47.643445110846585,328.08928571428777,-53.40539129404351,SELL,-0.6000000000000001,-1.0,-0.00015768500288904086,100.03632314581839
2025-08-29 18:45:00+00:00,108144.01,108220.0,108108.0,108145.4,58.94647,109401.18553428438,111143.29720261657,44.53105304047578,301.35214285714443,-51.25655241977074,SELL,-0.6000000000000001,-1.0,-1.2853231538212384e-05,100.03631029258685
2025-08-29 19:00:00+00:00,108145.4,108466.0,107934.24,108364.37,433.37049,109360.52610156735,111115.64618567511,47.367393267751886,311.5321428571437,-40.65943271703145,SELL,-0.6000000000000001,-1.0,-0.002024774054190104,100.03428551853266
2025-08-29 19:15:00+00:00,108364.37,108744.0,108360.01,108643.13,127.34185,109332.39292111373,111091.04403457388,55.73150924537762,317.2714285714298,-28.13318045361666,SELL,-0.6000000000000001,-1.0,-0.0025724322487179485,100.03171308628394
2025-08-29 19:30:00+00:00,108643.14,108734.24,108381.79,108535.73,79.5444,109301.1512379328,111065.61802427961,47.7108548329567,303.125714285716,-31.241683180924156,SELL,-0.6000000000000001,-1.0,0.0009885576750229275,100.03270164395897
2025-08-29 19:45:00+00:00,108535.74,108635.64,108172.53,108212.01,146.62989,109258.4398168374,111037.2239145853,43.66051300798114,316.0078571428593,-42.71142109540233,SELL,-0.6000000000000001,-1.0,0.0029826122697106383,100.03568425622868
2025-08-29 20:00:00+00:00,108212.01,108263.02,107710.0,107874.0,708.32447,109204.14805931436,111005.74904976356,31.598639170765523,331.79642857143125,-54.29175752303854,HOLD,-0.2,-1.0,0.0031235904406543558,100.03880784666933
2025-08-29 20:15:00+00:00,107874.0,108039.49,107748.48,107967.99,282.51192,109155.67127267459,110975.52259155696,34.846592496425714,333.6092857142888,-48.47678663977422,HOLD,-0.2,0.0,0.0,100.03880784666933
2025-08-29 20:30:00+00:00,107968.0,107968.0,107623.0,107624.0,330.81298,109095.6057325697,110942.17410805888,36.87178038124617,322.0021428571459,-60.06554010488617,SELL,-0.6000000000000001,0.0,-0.0,100.03880784666933
2025-08-29 20:45:00+00:00,107624.0,107876.08,107506.0,107770.78,541.76897,109043.65178227285,110910.6179477797,36.22189722035542,320.59857142857385,-51.9539502968546,SELL,-0.6000000000000001,-1.0,-0.0013638221957927854,100.03744402447354
2025-08-29 21:00:00+00:00,107770.78,107891.53,107463.9,107886.54,249.38938,108998.2748496347,110880.5276199411,38.123644482698055,331.08428571428834,-45.37693263814435,SELL,-0.6000000000000001,-1.0,-0.0010741315967091047,100.03636989287683
2025-08-29 21:15:00+00:00,107886.54,107962.4,107740.0,107962.4,127.54735,108957.65230651178,110851.4915242203,39.51131530826038,335.539285714288,-40.62254312292498,SELL,-0.6000000000000001,-1.0,-0.0007031461014506135,100.03566674677538
2025-08-29 21:30:00+00:00,107962.39,108416.82,107962.39,108415.15,188.1068,108936.37770625642,110827.2493199992,51.34922205366107,353.3592857142888,-21.274600255361293,SELL,-0.6000000000000001,-1.0,-0.004193589620089977,100.03147315715529
2025-08-29 21:45:00+00:00,108415.16,108470.75,108238.76,108450.01,79.58014,108917.30446287381,110803.59519741216,56.33607788835298,348.71357142857494,-19.073243382605142,SELL,-0.6000000000000001,-1.0,-0.00032154177714094345,100.03115161537815
2025-08-29 22:00:00+00:00,108450.0,108480.49,108288.49,108288.5,73.14057,108892.64546432975,110778.56937455235,52.68194895591655,352.20500000000277,-24.65899854406598,SELL,-0.6000000000000001,-1.0,0.0014892575851306322,100.03264087296328
2025-08-29 22:15:00+00:00,108288.5,108434.0,108275.13,108339.4,67.64694,108870.9495637678,110754.29903251701,53.53593899229383,355.5528571428596,-21.695900561942835,SELL,-0.6000000000000001,-1.0,-0.00047004067837308483,100.0321708322849
